address,district,lat,long,Cluster,Count
abu bakar lambogo,makassar,-5.1444266,119.4314297,1,6
abu bakar lambogo,makassar,-5.1444266,119.4314297,10,6
andi pangerang pettarani,rappocini,-5.1565899,119.4369069,2,9
andi pangerang pettarani,rappocini,-5.1565899,119.4369069,6,6
andi pangerang pettarani,rappocini,-5.1565899,119.4369069,7,6
aroepala,rappocini,-5.176439,119.4573487,0,6
berua raya,biringkanaya,-5.1158621,119.5232925,8,6
borong raya,manggala,-5.1637473,119.4673699,0,7
borong raya,manggala,-5.1637473,119.4673699,2,6
borong raya,manggala,-5.1637473,119.4673699,5,7
daeng tata raya,tamalate,-5.1850019,119.423432,10,6
gunung bawakaraeng,bontoala,-5.1354412,119.4177503,12,6
gunung latimojong,makassar,-5.1405404,119.4208275,10,6
insinyur sutami,tamalanrea,-5.0811953,119.5000284,12,6
kumala,tamalate,-5.169866,119.4189942,5,6
metro tanjung bunga,tamalate,-5.1763881,119.3904843,0,8
metro tanjung bunga,tamalate,-5.1763881,119.3904843,2,6
metro tanjung bunga,tamalate,-5.1763881,119.3904843,7,10
metro tanjung bunga,tamalate,-5.1763881,119.3904843,10,7
metro tanjung bunga,tamalate,-5.1763881,119.3904843,11,6
nipa-nipa,manggala,-5.1624763,119.5003181,10,6
paccerakkang,biringkanaya,-5.1130349,119.5128407,10,6
penghibur,ujung pandang,-5.1438068,119.4081433,10,7
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,0,45
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,1,7
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,2,30
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,4,23
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,5,27
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,6,8
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,7,19
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,8,12
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,9,18
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,10,18
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,11,6
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,12,15
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,14,7
perintis kemerdekaan,biringkanaya,-5.0934582,119.5134093,15,10
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,0,34
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,1,7
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,2,18
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,4,10
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,5,32
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,6,12
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,7,11
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,8,23
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,9,11
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,10,45
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,11,10
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,12,9
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,14,12
perintis kemerdekaan,tamalanrea,-5.1257155,119.5040112,15,9
sultan alauddin,rappocini,-5.1847014,119.4408542,5,8
sultan alauddin,tamalate,-5.1740774,119.4312419,0,6
sultan alauddin,tamalate,-5.1740774,119.4312419,4,8
sultan alauddin,tamalate,-5.1740774,119.4312419,10,6
sunu,tallo,-5.1247334,119.4296097,2,7
tamangapa raya,manggala,-5.1767373,119.4843844,5,6
urip sumuharjo,panakkukang,-5.1348243,119.4316818,1,13
urip sumuharjo,panakkukang,-5.1348243,119.4316818,2,9
urip sumuharjo,panakkukang,-5.1348243,119.4316818,5,17
urip sumuharjo,panakkukang,-5.1348243,119.4316818,6,7
urip sumuharjo,panakkukang,-5.1348243,119.4316818,7,11
urip sumuharjo,panakkukang,-5.1348243,119.4316818,8,8
urip sumuharjo,panakkukang,-5.1348243,119.4316818,9,6
urip sumuharjo,panakkukang,-5.1348243,119.4316818,10,14
veteran selatan,mamajang,-5.1671547,119.419923,0,7
veteran selatan,mamajang,-5.1671547,119.419923,2,8
veteran selatan,mamajang,-5.1671547,119.419923,10,10
veteran utara,makassar,-5.1407973,119.4239945,2,6
veteran utara,makassar,-5.1407973,119.4239945,5,7
veteran utara,makassar,-5.1407973,119.4239945,10,8
